[TRACE] 19:42:37 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.049782 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.051880 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.052744 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.054781 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.055710 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.056580 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.057417 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.058143 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:42:37 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.061023 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.065132 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.065832 seconds so far...
