[TRACE] 19:42:37 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:42:37 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.140486 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.210262 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.216089 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.217467 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.219355 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.220766 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.339778 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.648014 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.649031 seconds so far...
