[TRACE] 19:44:54 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.223930 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.725404 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.727473 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.728954 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.730667 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.732220 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:44:54 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.736018 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.736929 seconds so far...
[TRACE] 19:44:55 • [DependencyControl] DependencyControl initialization took 0.861859 seconds so far...
[TRACE] 19:44:55 • [DependencyControl] DependencyControl initialization took 0.862650 seconds so far...
