[TRACE] 19:48:36 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:48:36 • [DependencyControl] Lock was released after 350 ms.
[TRACE] 19:48:36 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.606915 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.609245 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.611042 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.612030 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.612979 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.613848 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.861983 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.863022 seconds so far...
[TRACE] 19:48:36 • [DependencyControl] DependencyControl initialization took 0.864372 seconds so far...
