[TRACE] 19:49:07 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.074409 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.075521 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.076508 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.077471 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.078530 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.079458 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.080868 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.082267 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:49:08 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.638245 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.756617 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.757440 seconds so far...
