[TRACE] 19:49:07 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:49:07 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.244157 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.805523 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.807076 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.808115 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.809315 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.810511 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.811817 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.937865 seconds so far...
[TRACE] 19:49:08 • [DependencyControl] DependencyControl initialization took 0.938889 seconds so far...
