[TRACE] 19:49:07 • [DependencyControl] Lock was released after 100 ms.
[TRACE] 19:49:07 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.338471 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.341580 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.343410 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.344629 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.345590 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.346439 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.347330 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.348277 seconds so far...
[TRACE] 19:49:07 • [DependencyControl] DependencyControl initialization took 0.349388 seconds so far...
