[TRACE] 19:50:46 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:50:46 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.272574 seconds so far...
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.276766 seconds so far...
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.278422 seconds so far...
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.281598 seconds so far...
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.285223 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.657023 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.658135 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.722302 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.723374 seconds so far...
