[TRACE] 19:50:46 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.261199 seconds so far...
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.263163 seconds so far...
[TRACE] 19:50:46 • [DependencyControl] DependencyControl initialization took 0.267359 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.950922 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.952927 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.954189 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:50:47 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.961799 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.964130 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.988780 seconds so far...
[TRACE] 19:50:47 • [DependencyControl] DependencyControl initialization took 0.989776 seconds so far...
