[TRACE] 19:51:52 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:51:52 • [DependencyControl] Lock was released after 300 ms.
[TRACE] 19:51:52 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.914627 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.918680 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.920007 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.921008 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.922056 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.923031 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.924087 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.925162 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 0.926313 seconds so far...
