[TRACE] 19:51:52 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:51:52 • [DependencyControl] Lock was released after 400 ms.
[TRACE] 19:51:52 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.036321 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.039519 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.040600 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.042125 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.043183 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.044394 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.045692 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.046631 seconds so far...
[TRACE] 19:51:52 • [DependencyControl] DependencyControl initialization took 1.047532 seconds so far...
