[TRACE] 19:53:17 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.158803 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.162138 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.164223 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.166467 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.234976 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.605092 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.606102 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.787767 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.789079 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.123646 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.125452 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.305700 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.307362 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.308965 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.309970 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.311117 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.312584 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.314261 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.438242 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.439873 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.441530 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.442492 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.444383 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.446360 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.502225 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.505390 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.507009 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.508689 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.510159 seconds so far...
