[TRACE] 19:53:17 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.273059 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.460315 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.461422 seconds so far...
[TRACE] 19:53:17 • [DependencyControl] DependencyControl initialization took 0.462617 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.466908 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.468853 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.975053 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.976888 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.979116 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.981066 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.983921 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.985744 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 0.987466 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:53:18 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.004559 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.021751 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:53:18 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.026046 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.036636 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:53:18 • [DependencyControl] Writing config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.040772 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.049619 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.235647 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.236582 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.238142 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.239525 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.240916 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.242383 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.243337 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.244389 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.300174 seconds so far...
[TRACE] 19:53:19 • [DependencyControl] DependencyControl initialization took 1.423563 seconds so far...
