[TRACE] 22:11:37 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.016203 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.017438 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.018563 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.020314 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.022306 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.025255 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.026348 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.027559 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.028689 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.031491 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.032763 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.034040 seconds so far...
[TRACE] 22:11:37 • [DependencyControl] DependencyControl initialization took 0.035416 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.055935 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.057447 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.067588 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.068947 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.070565 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.722653 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.723583 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.724327 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.725224 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.727168 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.727846 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.728534 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.729506 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.730896 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.731659 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.732500 seconds so far...
