[TRACE] 22:11:38 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 22:11:38 • [DependencyControl] Lock was released after 300 ms.
[TRACE] 22:11:38 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.428654 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.857048 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.859040 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.862242 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.863386 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.864741 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.866638 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.867463 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.868409 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 0.923231 seconds so far...
