[TRACE] 22:11:38 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 22:11:38 • [DependencyControl] Lock was released after 300 ms.
[TRACE] 22:11:38 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.468215 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.471562 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.473667 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.605459 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.607082 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.608711 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.611475 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.613913 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.615210 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.618254 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.619635 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.621235 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.624059 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.626059 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.627534 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.377960 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.380445 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.381167 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.381830 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.382569 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.383178 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.383835 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.386279 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.387617 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.389577 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.580983 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.581958 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.582849 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.584323 seconds so far...
