[TRACE] 18:40:29 • [DependencyControl] Lock was released after 200 ms.
[TRACE] 18:40:29 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.329961 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.331924 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.333500 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.340843 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.344395 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.345193 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.469837 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.531125 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.532288 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.533731 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.534738 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.535599 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.536327 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.537416 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.538507 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.539334 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.540132 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.545587 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.546502 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.550540 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.614870 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.674490 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.675210 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.676233 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.676997 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.794898 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.798535 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.799371 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.800057 seconds so far...
