[TRACE] 18:40:29 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 18:40:29 • [DependencyControl] Lock was released after 350 ms.
[TRACE] 18:40:29 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.495867 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.498477 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.499306 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.500169 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.501012 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.501852 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.503809 seconds so far...
[TRACE] 18:40:29 • [DependencyControl] DependencyControl initialization took 0.566755 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.810456 seconds so far...
