[TRACE] 18:40:29 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 18:40:30 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 18:40:30 • [DependencyControl] Lock was released after 700 ms.
[TRACE] 18:40:30 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.904377 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.911104 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.912158 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.913251 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.915017 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.916784 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.917789 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.918841 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.920302 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.921455 seconds so far...
