[TRACE] 18:40:30 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.899367 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.900277 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.901634 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.903147 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.904777 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.908181 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.910826 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.911783 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.913156 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.914101 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.914956 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.917723 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.918983 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.919673 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.920412 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.979335 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.980672 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.982276 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.983400 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.984460 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.986481 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 0.987253 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.052742 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.054386 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.059644 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.181295 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.183196 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.184696 seconds so far...
[TRACE] 18:40:30 • [DependencyControl] DependencyControl initialization took 1.185952 seconds so far...
