[TRACE] 18:59:16 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.052026 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.053515 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.054828 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.056192 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.057681 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.059016 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.689623 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.690433 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.691661 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.752542 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.754385 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.073527 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.074766 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.085548 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.086404 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.087253 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.088338 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.089157 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.089980 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.090772 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.091649 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.092562 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.093449 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.094176 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.157568 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.158289 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.158962 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.160120 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.160812 seconds so far...
