[TRACE] 18:59:16 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.076225 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.077111 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.077988 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.078771 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.079588 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.080486 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.456177 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] Writing updated module data to config file...
[TRACE] 18:59:17 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.460167 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.469704 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.470681 seconds so far...
