[TRACE] 18:59:16 • [DependencyControl] Lock was released after 200 ms.
[TRACE] 18:59:16 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.302447 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.318162 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.319948 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.321547 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.322975 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.324395 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.325376 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.700707 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.702506 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.703495 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.705016 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.705963 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.706919 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.707709 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.708467 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.709359 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.710124 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.711426 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.712418 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.713381 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.714221 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.715078 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.716416 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.717620 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.216246 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.218160 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.218839 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.219884 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 1.220980 seconds so far...
