[TRACE] 18:59:16 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.196192 seconds so far...
[TRACE] 18:59:16 • [DependencyControl] DependencyControl initialization took 0.197298 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.649813 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.651243 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.652194 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.653130 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.901637 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.902726 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] Writing updated module data to config file...
[TRACE] 18:59:17 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.907570 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.910628 seconds so far...
[TRACE] 18:59:17 • [DependencyControl] DependencyControl initialization took 0.911360 seconds so far...
