[TRACE] 19:00:09 • [DependencyControl] Lock was released after 100 ms.
[TRACE] 19:00:09 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.221570 seconds so far...
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.223164 seconds so far...
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.224800 seconds so far...
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.226418 seconds so far...
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.228067 seconds so far...
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.229459 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.287976 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.343003 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.344227 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.345119 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.345958 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.346652 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.347881 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.348966 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.349607 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.350273 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.350894 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.351545 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.352183 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.352911 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.353496 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.354729 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.355908 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.356753 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.357473 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.420916 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.422089 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.423152 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.424341 seconds so far...
