[TRACE] 19:00:10 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.015898 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.511102 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.512170 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.513240 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.514256 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.514983 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.515634 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.516531 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.518004 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.518968 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.520250 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.520903 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.521726 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.529080 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.529893 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.530607 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.531177 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.532534 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.533357 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.534711 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.536323 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.537093 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.537798 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.538435 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.539054 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.539765 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.540392 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.541119 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.541745 seconds so far...
