[TRACE] 19:00:51 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:51 • [DependencyControl] DependencyControl initialization took 0.101717 seconds so far...
[TRACE] 19:00:51 • [DependencyControl] DependencyControl initialization took 0.123142 seconds so far...
[TRACE] 19:00:51 • [DependencyControl] DependencyControl initialization took 0.127341 seconds so far...
[TRACE] 19:00:51 • [DependencyControl] DependencyControl initialization took 0.128663 seconds so far...
[TRACE] 19:00:51 • [DependencyControl] DependencyControl initialization took 0.257926 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.564454 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.565737 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.566965 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:00:52 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.696154 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.701239 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.702104 seconds so far...
