[TRACE] 19:00:52 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:00:52 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 19:00:52 • [DependencyControl] Lock was released after 600 ms.
[TRACE] 19:00:52 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.778749 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.780021 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.782483 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.783443 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.784244 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.784969 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.785756 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.786526 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.787476 seconds so far...
