[TRACE] 19:00:52 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.651152 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.652088 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.653158 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.654038 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.654786 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.655636 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.656308 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.657654 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.658344 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.721003 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.722079 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.723652 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.725206 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.726074 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.727076 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.727984 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.728701 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.913423 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.914980 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.916187 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.979921 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.980632 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.981415 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.982219 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.982956 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.983664 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.984323 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.985176 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.985835 seconds so far...
