[TRACE] 19:00:52 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:00:52 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.447183 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.448576 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.449246 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.449906 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.450814 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.451500 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.452192 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.517329 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.518187 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.518966 seconds so far...
