[TRACE] 19:00:52 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.636527 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.637390 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.638185 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.638948 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.639719 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.640560 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.641363 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.643279 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.644007 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.645418 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.646097 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.646982 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.648100 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.648777 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.649505 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.650246 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.650926 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.652612 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.653297 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.654230 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.655797 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.779786 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.780558 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.781362 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.782695 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.783401 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.784208 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.784999 seconds so far...
[TRACE] 19:00:52 • [DependencyControl] DependencyControl initialization took 0.785854 seconds so far...
