[TRACE] 19:37:44 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:37:45 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 19:37:45 • [DependencyControl] Lock was released after 600 ms.
[TRACE] 19:37:45 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.784120 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.786666 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.787533 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.788301 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.789046 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.789816 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.790719 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.852726 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.853970 seconds so far...
[TRACE] 19:37:45 • [DependencyControl] DependencyControl initialization took 0.854852 seconds so far...
