[TRACE] 19:40:51 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:40:51 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:40:51 • [DependencyControl] DependencyControl initialization took 0.269146 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.449568 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.453140 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.460740 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.462902 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.465010 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.466683 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.469540 seconds so far...
[TRACE] 19:40:52 • [DependencyControl] DependencyControl initialization took 1.533716 seconds so far...
