[TRACE] 19:41:15 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:41:15 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.574270 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.580620 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.582505 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.584262 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.585896 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.587393 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.588665 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.589737 seconds so far...
[TRACE] 19:41:15 • [DependencyControl] DependencyControl initialization took 0.590726 seconds so far...
