[TRACE] 19:41:15 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:41:15 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 19:41:16 • [DependencyControl] Waiting for config file lock to be released (750 ms passed)... 
[TRACE] 19:41:16 • [DependencyControl] Lock was released after 800 ms.
[TRACE] 19:41:16 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.105469 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.107530 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.108261 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.109012 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.109927 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.110730 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.111654 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.112621 seconds so far...
[TRACE] 19:41:16 • [DependencyControl] DependencyControl initialization took 1.167793 seconds so far...
