[TRACE] 19:41:38 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.202829 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.203987 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.206270 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.207018 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.648278 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.649494 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.650931 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.651799 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:41:38 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.656774 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.675265 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.676477 seconds so far...
