[TRACE] 19:57:12 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.614536 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.615845 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.617431 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.619025 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.619712 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.620403 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.621386 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.860544 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.861261 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:57:12 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.866896 seconds so far...
