[TRACE] 19:57:12 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.199741 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.200638 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.201433 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.202173 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.202923 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.203664 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.204404 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.205672 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.703542 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.704961 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.705575 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.706415 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.707599 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.827349 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.828478 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.835903 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.836522 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.270577 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.271494 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.272341 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.273543 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.274186 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.274972 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.275723 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.276547 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.277299 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.278086 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.278810 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.279529 seconds so far...
