[TRACE] 19:57:44 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:57:44 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:44 • [DependencyControl] DependencyControl initialization took 0.129577 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.199342 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 1.064617 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 1.065455 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 1.066297 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 1.067066 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 1.067809 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.129201 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.129848 seconds so far...
