[TRACE] 19:57:45 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.061987 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.619802 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.620873 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.622078 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.623181 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.623891 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.624684 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.625703 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.626980 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.628325 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.629239 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.630141 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.631299 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.632048 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.632660 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.634458 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.635136 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.636102 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.636723 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.878306 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.879083 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.879850 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.312036 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.313026 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.314765 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.315607 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.316500 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.317242 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.318000 seconds so far...
