[TRACE] 19:57:45 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:57:45 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 19:57:45 • [DependencyControl] Waiting for config file lock to be released (750 ms passed)... 
[TRACE] 19:57:46 • [DependencyControl] Lock was released after 900 ms.
[TRACE] 19:57:46 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.163087 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.164874 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.166366 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.167951 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.169314 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.170635 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.171530 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.172722 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.174294 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.175195 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.176256 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.176958 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.177716 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.179086 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.179776 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.180537 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.243474 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.244207 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.244857 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.245613 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.246267 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.246950 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.248125 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.249590 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.250240 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.251075 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.252376 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.253123 seconds so far...
[TRACE] 19:57:46 • [DependencyControl] DependencyControl initialization took 1.253932 seconds so far...
