[TRACE] 19:58:04 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 19:58:04 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.103187 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.104976 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.107528 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.109971 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.664442 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.665330 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.666247 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 1.042371 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 1.044020 seconds so far...
