[TRACE] 19:58:04 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.102075 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.162784 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.164293 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.165740 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.167216 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.168657 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.170011 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.172598 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.173837 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.176117 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.177361 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.178387 seconds so far...
[TRACE] 19:58:04 • [DependencyControl] DependencyControl initialization took 0.180119 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.796652 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.797343 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.798112 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.798763 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.980023 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.982006 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.982742 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.983655 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.984369 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.985145 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.985891 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.986696 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.987544 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.988370 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.989050 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.989661 seconds so far...
