[TRACE] 19:58:05 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:58:05 • [DependencyControl] Lock was released after 250 ms.
[TRACE] 19:58:05 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.572608 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.573581 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.574438 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.575213 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.576142 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.577057 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.577915 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.704516 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.705299 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.706542 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.769422 seconds so far...
