[TRACE] 19:58:05 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.329536 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.330342 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.331039 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.331800 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.332596 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.333311 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.334102 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.334988 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.336222 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.337260 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.338220 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.339090 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.340240 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.341566 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.342743 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.343479 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.344129 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.524334 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.525326 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.526399 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.527829 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.528513 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.529340 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.529930 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.530560 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.844992 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.845790 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.846451 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.847054 seconds so far...
