[TRACE] 19:58:05 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.353920 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.354815 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.355462 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.356378 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.357274 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.358042 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] Writing updated module data to config file...
[TRACE] 19:58:05 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.360771 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.612850 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.613829 seconds so far...
[TRACE] 19:58:05 • [DependencyControl] DependencyControl initialization took 0.614557 seconds so far...
