[TRACE] 20:06:44 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.081176 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.518721 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.519437 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.520156 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.520847 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.521498 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.522189 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.522970 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.524153 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.525022 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.526430 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.527968 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.529528 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.530386 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.531026 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.531722 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.532336 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.654775 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.656110 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.656817 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.657541 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.158478 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.159212 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.159867 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.160448 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.161228 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.162667 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.163475 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 1.164108 seconds so far...
