[TRACE] 20:06:44 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.459800 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.460780 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.461610 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.462370 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.463117 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.463827 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.901534 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.903336 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.905739 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.907975 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.910923 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.912131 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.913290 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.914072 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.914880 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.915608 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.916200 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.916952 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.917603 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.918231 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.918926 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.919587 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.920244 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.921155 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.921819 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.923173 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.923788 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.924592 seconds so far...
[TRACE] 20:06:45 • [DependencyControl] DependencyControl initialization took 0.925359 seconds so far...
