[TRACE] 20:06:44 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 20:06:44 • [DependencyControl] Lock was released after 400 ms.
[TRACE] 20:06:44 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.513784 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.515995 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.517222 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.518156 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.518997 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.519826 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.520565 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.529547 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.588624 seconds so far...
