[TRACE] 20:31:21 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.031576 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.033152 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.035777 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.038129 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.039220 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.040463 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] Writing updated module data to config file...
[TRACE] 20:31:21 • [DependencyControl] Writing config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.DependencyControl.json'...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.047875 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.536351 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.537700 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.539926 seconds so far...
