[TRACE] 20:31:22 • [DependencyControl] Lock was released after 150 ms.
[TRACE] 20:31:22 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.282012 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.283009 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.284020 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.530092 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.531386 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.532745 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.533942 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.718335 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.720894 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.722112 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.723430 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.724407 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.725470 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.727026 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.727734 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.728456 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.729367 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.730114 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.730723 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.164030 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.165042 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.167830 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.168784 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.169663 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.170538 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.172400 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.173195 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.174728 seconds so far...
[TRACE] 20:31:23 • [DependencyControl] DependencyControl initialization took 1.175687 seconds so far...
