[TRACE] 20:31:22 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 20:31:22 • [DependencyControl] Lock was released after 300 ms.
[TRACE] 20:31:22 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.441491 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.443143 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.444700 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.446880 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.448022 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.448720 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.449553 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.451409 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.452333 seconds so far...
