[TRACE] 20:31:59 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 20:31:59 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 20:31:59 • [DependencyControl] Waiting for config file lock to be released (750 ms passed)... 
[TRACE] 20:32:00 • [DependencyControl] Waiting for config file lock to be released (1000 ms passed)... 
[TRACE] 20:32:00 • [DependencyControl] Lock was released after 1000 ms.
[TRACE] 20:32:00 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.356377 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.359291 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.360180 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.361078 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.483978 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.484897 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.485678 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.486513 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.487301 seconds so far...
