[TRACE] 20:31:59 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.411066 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.531913 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.532802 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.533804 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.535978 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.536759 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.537753 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.538525 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.539240 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.540056 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.540955 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.541716 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.542450 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.543795 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.544514 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.600645 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.601376 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.602415 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.605516 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.606560 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.607581 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.608352 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.609107 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.609768 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.610441 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.670920 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.671554 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.672352 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.672964 seconds so far...
