[TRACE] 20:31:59 • [DependencyControl] Lock was released after 150 ms.
[TRACE] 20:31:59 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.410711 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.412198 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.413522 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.414879 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.415694 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.416491 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.417216 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.729651 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.730344 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.732061 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.732930 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.041415 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.043129 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.043987 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.044709 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.045868 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.047061 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.048770 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.049444 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.050577 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.052026 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.052732 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.053480 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.054338 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.055830 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.057835 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 1.058707 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.060477 seconds so far...
[TRACE] 20:32:00 • [DependencyControl] DependencyControl initialization took 1.062582 seconds so far...
