[TRACE] 20:37:54 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.079003 seconds so far...
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.080665 seconds so far...
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.081419 seconds so far...
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.082155 seconds so far...
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.083139 seconds so far...
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.083963 seconds so far...
[TRACE] 20:37:54 • [DependencyControl] DependencyControl initialization took 0.084778 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.085652 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.086700 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.589512 seconds so far...
