[TRACE] 20:37:55 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 20:37:55 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.384405 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.385335 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.386137 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.386934 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.387712 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.388457 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.389233 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.512308 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.517164 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.518706 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.521061 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.522185 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.523409 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.524107 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.524892 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.526281 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.527120 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.594089 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.595899 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.843346 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.844934 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.845762 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.846482 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.847164 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.847829 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.848616 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.849253 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.849963 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.850661 seconds so far...
