[TRACE] 20:37:55 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 0.949558 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.015395 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.140126 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.141376 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.142585 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.143439 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.144163 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.145201 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.146473 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.147347 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.148664 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.149410 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.150173 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.151016 seconds so far...
[TRACE] 20:37:55 • [DependencyControl] DependencyControl initialization took 1.151777 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.271822 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.272907 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.274038 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.275222 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.276275 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.277405 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.278361 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.279239 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.280010 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.280762 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.281535 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.282283 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.283249 seconds so far...
[TRACE] 20:37:56 • [DependencyControl] DependencyControl initialization took 1.285007 seconds so far...
