[TRACE] 19:33:14 • [DependencyControl] Couldn't find config file 'E:\Project\Aegisub\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.004610 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.005552 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.006381 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.008092 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.010909 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.014097 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.015539 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.016518 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.017552 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.018727 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.019675 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.020864 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.022172 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.023363 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.024232 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.105016 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.105975 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.106863 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.107968 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.112224 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.114289 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.117103 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.170788 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.172439 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.174854 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.176456 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.178160 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.179068 seconds so far...
[TRACE] 19:33:14 • [DependencyControl] DependencyControl initialization took 2.179965 seconds so far...
