[TRACE] 19:34:00 • [DependencyControl] Couldn't find config file 'E:\Project\Aegisub\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.133426 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.136280 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.136958 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.137635 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.138320 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.139101 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.139855 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.140899 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.142438 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.143396 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.144737 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.145570 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.146408 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.147198 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.147843 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.148646 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.149380 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.578557 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.579878 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.581225 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.583208 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.584102 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.584972 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.585726 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.586656 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.587368 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.588174 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.588862 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 0.589518 seconds so far...
