[TRACE] 19:34:00 • [DependencyControl] Couldn't find config file 'E:\Project\Aegisub\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.023610 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.025476 seconds so far...
[TRACE] 19:34:00 • [DependencyControl] DependencyControl initialization took 0.029767 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.011937 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.013061 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.013831 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.014654 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.015524 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.016794 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.018231 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.020385 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.021678 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.022706 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.023492 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.024298 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.029964 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.030715 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.033048 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.034089 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.035725 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.038055 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.038779 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.039660 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.040307 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.102749 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.103581 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.104328 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.105322 seconds so far...
[TRACE] 19:34:01 • [DependencyControl] DependencyControl initialization took 1.106046 seconds so far...
